cell_code,prediction
000UdopVPb,AMPA
00hT05IdJA,ROCK
00SjHgMANS,ROCK
01FX1FB6h8,Cdc25
01gkdzknqz,cellcycle
01iKLFkHdG,ROCK
01K2SS79u1,ROCK
01KR9JplSQ,Tubulin
01rCcgdFlO,cellcycle
01thNmXPzM,DNAMetabolism
024N7s4onh,Tubulin
02c3TShIwK,eNOS
02xcQJBcFB,cellcycle
033xlHTH90,eNOS
035Py9696R,ROCK
04kvB8kenS,ROCK
04Nn265iWZ,Cdc25
04oiPCs91b,ROCK
054TOEvN5o,ROCK
056pOK3Axo,ROCK
05DAzhkSmF,Ca2
05KUTFUwuo,ROCK
05LHra149t,dopaminereceptor
05TY3Iu3Q5,Ca2
060Y0bBHIY,Ca2
06E5CVgKNI,Ca2
06KM45eGx6,dopaminereceptor
07DFaxYxgL,ROCK
08b16o0cKI,ROCK
08bqCZscbi,ROCK
08jpgbnjgz,TopoII
08Wus9Z4RY,dopaminereceptor
09BhB5HK9M,Ca2
09mGxm0tJj,ROCK
09wnoKjyif,ROCK
09y0B34NMn,TopoII
0AuajtZC92,dopaminereceptor
0AVBjdUbCm,dopaminereceptor
0axbMd1blV,Ca2
0BcWbkbwNL,cellcycle
0bFbGHV5F6,dopaminereceptor
0bfhqYVJYw,DNA_intercalation
0BIDYcQcw2,dopaminereceptor
0bx3gRFjs0,MEK
0C7ZPbgsHm,dopaminereceptor
0CadmIi0wr,ROCK
0cbdZRaiZV,ROCK
0ccNPi8SnE,ROCK
0CemCxTnvQ,DNAMetabolism
0cEvY66a2W,ROCK
0CEwZJREId,dopaminereceptor
0csofIIlri,DNA_intercalation
0ctOlAPUYd,ROCK
0D3K8BX6IZ,ROCK
0d7wcembhv,Cdc25
0DbO8TkLjH,ROCK
0dF4kWjErt,ROCK
0dhbSt1JUf,cellcycle
0dM9Fdqc3K,cellcycle
0DTAefTFSs,DNAMetabolism
0dYMW5Uz8t,eNOS
0DzRf386sn,cMyc
0e0BYfoxBJ,ROCK
0e9c18aZ7K,ROCK
0eEes9sSlx,Tubulin
0ejyx48GQP,cellcycle
0EpaUyx53K,ROCK
0ePWwyWRVg,ROCK
0EsVXdm9kf,ROCK
0EvIpsqtvL,ROCK
0eWfxpaHB5,Tubulin
0f2DKO25fM,dopaminereceptor
0fHtl3E5AZ,ROCK
0FIpMXGT2w,Ca2
0fm1g5xa06,ROCK
0fpQY7XWlC,dopaminereceptor
0Fx4txADe2,ROCK
0G6ghMNCjl,ROCK
0gBp95EkXg,Cdc25
0GCYjqZbXm,ROCK
0gDEOj6Eu5,ROCK
0Gfg3QarHa,eNOS
0gqLifHPip,ROCK
0GsFXCxxA5,dopaminereceptor
0gux2f7zxR,eNOS
0haKm698kC,DNAMetabolism
0hbqRmDwTg,AMPA
0hj6ZyjQmF,ROCK
0hMOJvYzYY,cellcycle
0HpzX8krPp,ROCK
0Hu12QUaGJ,Ca2
0hX9CFkRyh,cellcycle
0HzvzxSv4q,AMPA
0IClVEzmNt,ROCK
0ICtSXXpct,Ca2
0IgWB31UOA,ROCK
0iheIaFuhT,Ca2
0IHpbIDeX3,ROCK
0iifur0Wzj,DNAMetabolism
0iKmiiggEp,dopaminereceptor
0IkZj8TOeJ,DNAMetabolism
0Iplt0St5h,ROCK
0IPoyPdkqp,cellcycle
0IYzfwfVJk,dopaminereceptor
0jaqFGceoJ,ROCK
0JBvL5HckM,ROCK
0jDFy8e8sC,ROCK
0JOUhxPBVI,TopoII
0Jsgdyfp9F,dopaminereceptor
0Kf35eIhhp,Ca2
0KiZ7cWRxa,ROCK
0KKPrR0hjt,dopaminereceptor
0KlTAmj7f6,dopaminereceptor
0kMO4HSkua,ROCK
0kpPuHnGkk,DNA_intercalation
0kQh03kypR,ROCK
0kw8UyjvnT,DNA_intercalation
0kYPPcv3Bt,cellcycle
